City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Carlyle,"3,226",9,0,1,0,8,61,2,56,3,0
Carol Stream,"40,499",60,0,7,25,28,384,50,321,13,3
Carpentersville,"38,571",34,0,4,22,8,552,80,464,8,1
Carrollton,"2,386",9,0,4,0,5,36,12,24,0,0
Carterville,"5,837",10,0,0,1,9,56,18,38,0,1
Carthage,"2,527",2,0,1,0,1,31,10,18,3,0
Cary,"17,919",11,0,4,0,7,112,33,79,0,2
Caseyville,"4,051",33,2,9,3,19,131,39,81,11,1
Catlin,"2,018",1,0,1,0,0,12,4,8,0,0
Centralia,"12,669",98,3,16,8,71,587,124,441,22,1
Centreville,"5,033",82,0,3,10,69,205,55,123,27,8
Champaign,"85,362",584,4,42,132,406,"2,412",472,"1,850",90,8
Channahon,"12,625",4,0,0,2,2,49,5,42,2,0
Charleston,"21,831",61,0,5,4,52,87,31,53,3,1
Chatham,"12,357",12,0,3,1,8,98,14,81,3,1
Chenoa,"3,227",0,0,0,0,0,3,2,1,0,0
Cherry Valley,"3,097",16,0,0,6,10,306,20,275,11,0
Chester,"8,381",19,0,7,3,9,88,21,66,1,2
Chicago,"2,728,695","24,663",478,"1,432","9,649","13,104","80,395","13,151","57,022","10,222",534
Chicago Heights,"30,461",183,0,22,105,56,861,125,666,70,25
Chicago Ridge,"14,463",14,0,2,8,4,504,46,442,16,3
Chillicothe,"6,146",13,0,1,0,12,88,7,80,1,0
Cicero,"84,375",191,2,12,86,91,"1,652",365,"1,089",198,23
Clarendon Hills,"8,714",1,0,0,0,1,53,4,47,2,2
Coal City,"5,505",4,0,0,0,4,68,4,63,1,1
Coal Valley,"3,748",1,0,1,0,0,19,7,12,0,1
Cobden,"1,142",6,0,0,0,6,8,0,8,0,0
Colchester,"1,343",0,0,0,0,0,2,1,1,0,0
Colfax,"1,053",1,0,0,0,1,12,2,9,1,0
Colona,"5,095",2,0,1,0,1,65,13,50,2,0
Columbia,"10,224",3,1,1,1,0,100,36,60,4,0
Cortland,"4,353",7,0,3,0,4,57,6,51,0,1
Country Club Hills,"16,944",54,1,7,18,28,447,59,357,31,0
Cowden,588,2,0,0,0,2,1,0,1,0,0
Crest Hill,"20,748",30,1,6,12,11,269,92,163,14,5
Crete,"8,211",14,0,4,4,6,138,27,106,5,1
Creve Coeur,"5,344",59,0,8,2,49,129,19,105,5,1
Crystal Lake,"40,426",59,0,9,7,43,749,48,692,9,0
Danville,"32,056",452,0,52,87,313,"2,037",705,"1,255",77,11
Darien,"22,367",11,0,2,4,5,344,30,308,6,1
Davis,647,0,0,0,0,0,0,0,0,0,0
Decatur,"73,499",379,6,38,120,215,"2,399",649,"1,680",70,25
Deer Creek,692,0,0,0,0,0,9,2,5,2,0
Deerfield,"18,418",7,0,0,2,5,116,22,87,7,0
De Kalb,"44,046",209,1,45,29,134,"1,109",140,951,18,11
Delavan,"1,657",4,0,0,0,4,56,19,37,0,0
De Pue,"1,743",0,0,0,0,0,10,2,8,0,0
De Soto,"1,583",3,0,0,0,3,12,3,9,0,0
Des Plaines,"59,078",50,0,5,12,33,635,95,508,32,5
Diamond,"2,495",0,0,0,0,0,18,0,18,0,0
Divernon,"1,160",1,0,0,0,1,5,1,4,0,0
Dixon,"15,181",27,0,19,4,4,252,28,215,9,0
Downers Grove,"49,917",29,0,6,3,20,676,77,570,29,6
Dupo,"3,930",24,0,2,0,22,92,40,48,4,0
Du Quoin,"5,860",15,1,1,1,12,91,8,76,7,0
Dwight,"4,087",6,0,1,2,3,28,9,18,1,0
Earlville,"1,633",2,0,0,0,2,25,4,21,0,0
East Alton,"6,195",17,0,11,1,5,155,34,116,5,2
East Dubuque,"1,662",1,0,0,0,1,38,12,24,2,0
East Dundee,"3,289",1,0,0,1,0,132,13,119,0,1
East Hazel Crest,"1,554",1,0,0,0,1,47,17,22,8,0
East Moline,"21,143",69,0,9,15,45,504,106,382,16,4
East Peoria,"23,359",96,0,20,4,72,639,170,454,15,2
East St. Louis,"26,616",889,19,42,146,682,804,234,388,182,12
Edinburg,"1,051",1,0,1,0,0,7,5,2,0,0
Edwardsville,"24,876",30,0,3,5,22,297,27,263,7,1
Effingham,"12,643",39,0,6,3,30,442,64,365,13,4
Eldorado,"4,061",9,1,0,0,8,158,50,103,5,0
Elgin,"111,832",261,3,37,68,153,"1,488",256,"1,161",71,11
Elizabeth,749,2,0,0,0,2,3,1,2,0,0
Elk Grove Village,"33,436",30,1,7,8,14,479,41,398,40,3
Elmhurst,"46,152",13,0,3,4,6,486,64,412,10,1
Elmwood,"2,102",1,0,0,0,1,15,3,12,0,1
Elmwood Park,"24,969",25,0,3,9,13,285,36,224,25,1
El Paso,"2,803",6,0,0,0,6,28,4,23,1,0
Energy,"1,144",0,0,0,0,0,9,2,6,1,0
Erie,"1,534",1,0,0,0,1,7,1,6,0,0
Eureka,"5,387",16,0,1,0,15,35,4,30,1,0
Evanston,"75,930",131,3,0,51,77,"1,815",313,"1,440",62,6
Evergreen Park,"19,953",30,0,2,13,15,625,33,571,21,0
Fairfield,"5,064",29,0,5,0,24,116,27,87,2,0
Fairmont City,"2,505",5,0,0,1,4,16,2,13,1,0
Fairmount,618,0,0,0,0,0,4,1,3,0,0
Fairview Heights,"16,851",44,1,9,10,24,725,52,653,20,2
Farmington,"2,334",3,0,0,0,3,63,9,52,2,0
Fayetteville,341,3,0,0,0,3,6,3,2,1,0
Findlay,660,1,0,1,0,0,6,0,6,0,0
Fisher,"1,980",3,0,2,0,1,27,6,20,1,0
Fithian,470,0,0,0,0,0,0,0,0,0,0
Flora,"4,953",3,0,0,0,3,132,6,125,1,0
